Municipality,Median_Income_2000,Median_Income_2000_to_2009,Location
Lynwood,56554,64245,"Lynwood, Illinois
(41.50527999967244, -87.53280999988147)"
"Calumet City",38902,45571,"Calumet City, Illinois
(41.615520000447816, -87.53108999970357)"
"Orland Hills",61884,72895,"Orland Hills, Illinois
(41.598080000192, -87.84779000030812)"
Harvey,31958,32968,"Harvey, Illinois
(41.61083000000468, -87.64458000016674)"
"Schiller Park",41583,48904,"Schiller Park, Illinois
(41.95494000018101, -87.86692999981949)"
Markham,41592,42867,"Markham, Illinois
(41.59258000016706, -87.69421000009129)"
"Country Club Hills",57701,59259,"Country Club Hills, Illinois
(41.55713000034939, -87.71929000013324)"
Streamwood,65076,70473,"Streamwood, Illinois
(42.011619999663424, -88.173299999795)"
Winnetka,167458,201650,"Winnetka, Illinois
(42.105209999741874, -87.73363999998588)"
McCook,43125,68000,"McCook, Illinois
(41.79791999960844, -87.83306999958069)"
"Western Springs",98876,125091,"Western Springs, Illinois
(41.810009999562, -87.8980800000918)"
Alsip,47963,52475,"Alsip, Illinois
(41.66916000003414, -87.73214000006078)"
Glenwood,53894,62599,"Glenwood, Illinois
(41.54566999977084, -87.613739999801)"
Broadview,47651,52070,"Broadview, Illinois
(41.86106999978085, -87.86271000036606)"
"Forest Park",44103,52116,"Forest Park, Illinois
(41.87715000027248, -87.81444999976753)"
Summit,38132,45984,"Summit, Illinois
(41.78452000039789, -87.80481000038105)"
"Calumet Park",45357,45875,"Calumet Park, Illinois
(41.667620000063096, -87.65373999990095)"
Westchester,58928,68400,"Westchester, Illinois
(41.86330000009508, -87.88028000032159)"
Skokie,57375,66916,"Skokie, Illinois
(42.02634000039086, -87.75568000013175)"
"Palos Hills",52329,58315,"Palos Hills, Illinois
(41.703769999785834, -87.829739999801)"
"Prospect Heights",55641,57081,"Prospect Heights, Illinois
(42.09643000044434, -87.93677000003532)"
Phoenix,29643,33903,"Phoenix, Illinois
(41.61538000028696, -87.63212000023765)"
Burbank,49388,54275,"Burbank, Illinois
(41.74838000023698, -87.78447000039006)"
"Oak Park",59183,72435,"Oak Park, Illinois
(41.88000000039989, -87.77891000029615)"
"Oak Lawn",47585,58005,"Oak Lawn, Illinois
(41.72028999988373, -87.75268999984348)"
Golf,131742,143214,"Golf, Illinois
(42.058089999554, -87.79564999974752)"
"Forest View",46000,56618,"Forest View, Illinois
(41.80856000014404, -87.79761999976301)"
"Richton Park",48299,61217,"Richton Park, Illinois
(41.48431000030644, -87.72407999979202)"
"Oak Forest",60073,70671,"Oak Forest, Illinois
(41.61181999979334, -87.75629000038305)"
"Park Ridge",73154,88148,"Park Ridge, Illinois
(42.00836000041386, -87.83065999995887)"
Norridge,47787,52490,"Norridge, Illinois
(41.95350000032494, -87.81458000036656)"
"Hoffman Estates",65937,76171,"Hoffman Estates, Illinois
(42.06280999958199, -88.12374000040057)"
"Elk Grove Village",62132,72879,"Elk Grove Village, Illinois
(42.00280999988178, -88.00903999989595)"
Bridgeview,42073,48130,"Bridgeview, Illinois
(41.754270000260476, -87.80477999989694)"
"Palos Park",78450,95521,"Palos Park, Illinois
(41.6659399999312, -87.84005000040702)"
Bellwood,52856,55838,"Bellwood, Illinois
(41.88191000034641, -87.86764999974753)"
"Chicago Ridge",44101,46426,"Chicago Ridge, Illinois
(41.702410000021644, -87.77928999983345)"
Flossmoor,94222,88193,"Flossmoor, Illinois
(41.54256000024401, -87.68499999984994)"
Brookfield,52636,66257,"Brookfield, Illinois
(41.822840000365886, -87.84110999982647)"
"Ford Heights",17500,22049,"Ford Heights, Illinois
(41.507300000195016, -87.59210000011478)"
Northlake,48406,52557,"Northlake, Illinois
(41.907089999603954, -87.89976999978552)"
Niles,48627,50976,"Niles, Illinois
(42.026200000230006, -87.80067999968207)"
"La Grange Park",58918,70669,"La Grange Park, Illinois
(41.82239000029847, -87.87376000002382)"
Lincolnwood,71234,81076,"Lincolnwood, Illinois
(42.00693999968138, -87.73318999991841)"
"Evergreen Park",53514,59056,"Evergreen Park, Illinois
(41.72192999996969, -87.70190000038457)"
Justice,50254,48175,"Justice, Illinois
(41.74928000037187, -87.83905000015721)"
Burnham,39053,43620,"Burnham, Illinois
(41.63810000031492, -87.55554000037057)"
